title,start_year,votes
Are You the One?,2014,2061
Ares,2020,3974
Areumdaun Sesang,2019,94
Ari Shaffir: Double Negative,2016,667
"Ariana Grande: Excuse Me, I Love You",2020,2141
Arifureta Shokugyou de Sekai Saikyou,2019,1613
Arlo the Alligator Boy,2021,794
Armed Girl's Machiavellism,2017,205
Army of Thieves,2021,0
Army of the Dead,2021,132378
Army of the Dead: Lost Vegas,2022,0
Arrested Development,2003,284373
Arrival,2016,623912
Arrow,2012,414712
Arsenio Hall: Smart and Classy,2019,412
Art of Flight: The Series,2012,189
Art of the Game: Ukiyo-e Heroes,2017,247
Article 15,2019,26537
Artifact,2012,4555
Aruna & Her Palate,2018,674
As We Sleep,2002,0
Ascension,2014,17926
Aseudal Yeondaegi,2019,4237
Ash vs Evil Dead,2015,67180
Ashby,2015,15197
Ashes of Love,2018,1577
Ashley Garcia: Genius in Love,2020,245
"Ashley Madison: Sex, Lies & Cyber Attacks",2016,339
Ask 101,2020,13050
Ask the Doctor,2017,261
Ask the StoryBots,2016,750
Ask-i Memnu,2008,12276
Asktan Kaçilmaz,2014,46
Asobi Asobase,2018,875
Asperger's Are Us,2016,680
Assassinio sul Tevere,1979,259
Astronomy Club,2019,693
Astérix,2023,0
Asukô mâchi: Asuka kôgyô kôkô monogatari,2011,63
At the Dolphin Bay,2003,29
Atari: Game Over,2014,5762
Ataúd Blanco: El Juego Diabólico,2016,781
Atelier,2015,877
Aterrados,2017,12989
Athlete A,2020,8827
Atlantique,2019,8583
Atomic Blonde,2017,182505
Atone,2019,416
Att angöra en brygga,1965,2403
Att döda ett barn,1953,200
Atypical,2017,71544
Au service de la France,2015,3115
Audible,2021,119
Audrie & Daisy,2016,6227
Aunty Donna's Big Ol' House of Fun,2020,5312
Aurora,2018,554
Autistic Driving School,2010,11
Autohead,2016,373
Autumn,2009,1562
Ava's Possessions,2015,2990
Avatar: The Last Airbender,2005,468998
Avengement,2019,12996
Avicii: True Stories,2017,6482
Avlu,2018,1377
Awake,2021,16262
Awake: The Million Dollar Game,2019,681
Away,2016,2079
Away,2020,22137
Axis Mundi,2022,0
Axone,2019,2026
"Ayotzinapa, El paso de la Tortuga",2018,186
Azali,2018,163
Aziz Ansari Live in Madison Square Garden,2015,3066
Aziz Ansari: Buried Alive,2013,3775
Aziz Ansari: Right Now,2019,4634
Azizler,2021,9497
B: The Beginning,2018,4285
BAC Nord,2020,54
BG: Shinpen keigonin,2018,372
BNA,2020,1893
BORDER2 Shokuzai,2017,154
Babies,2020,661
Babies Behind Bars,2011,110
Baby,2018,10665
Baby Ballroom,2017,169
Baby Driver,2017,468655
Babylon,2014,2142
Back Street Girls,2018,689
Back With the Ex,2018,567
Back to the Outback,2021,0
Backfire,2017,423
Backlash,1956,1530
Backstabbed,2016,502
Bad Blood,2015,402
Bad Blood,2017,8238
Bad Boy,2020,893
Bad Boy Billionaires: India,2020,2687
Bad Day for the Cut,2017,7311
Bad Investigate,2018,651
Bad Papa,2018,101
Bad Samaritans,2013,432
Bad Trip,2021,19931
Badla,2019,24679
Baegabondeu,2019,5333
Baekilui Nanggoonnim,2018,1328
Baggage,2008,373
Baires,2015,197
Bajo la piel de lobo,2017,2744
Bajocero,2021,16022
Bake Squad,2021,0
Baki,2018,5193
Bakugan: Battle Planet,2018,190
Bala,2019,12716
Balle perdue,2020,8228
Bameul geotneun seonbi,2015,792
Ban-deu-si jab-neun-da,2017,2511
Banana Split,2018,2774
Bangistan,2015,1196
Bangkok Breaking,2021,0
Bangkok Buddies,2019,15
Bangkok Love Stories: Hey You,2018,11
Bangkok Love Stories: Innocence,2018,166
Bangkok Love Stories: Objects of Affection,2019,22
Bangkok Love Stories: Plead,2019,43
Bank el-Hazz,2017,826
Bankier van het verzet,2018,8574
Banlieusards,2019,1356
Bap Jal Sajuneun Yeppeun Nuna,2018,4330
Barami Boonda,2019,33
Barangay 143,2018,27
Barbarians,2020,25098
Barbie & Chelsea the Lost Birthday,2021,75
Barbie Dreamhouse Adventures,2018,414
Barbie Princess Adventure,2020,288
"Barbie: Big City, Big Dreams",2021,0
Barbie: Dolphin Magic,2017,619
Barbie: Happy Birthday to You!,2017,8
Barbie: Life in the Dreamhouse,2012,1474
Barbra: The Music... The Mem'ries... The Magic!,2017,416
Bard of Blood,2019,10752
Barry,2016,6821
Bartita,2012,107
Bartkowiak,2021,398
Basilisk: Ouka Ninpouchou,2018,135
Basketball or Nothing,2019,528
Bates Motel,2013,100394
Batman v Superman: Dawn of Justice,2016,657423
Batman: The Movie,1966,30610
Battle,2018,3918
Battle Kitty,2022,0
Battle of Britain,1969,21366
Battle of the Hearts,2020,0
Battle: Freestyle,2021,0
Battlefish,2018,385
Bayoneta,2018,504
Baywatch,2017,170844
Be Here Now,2015,3288
Beastars,2019,7848
Beasts of No Nation,2015,76530
Beat Bugs,2016,491
Beat Bugs: Happy Birthday to You!,2017,0
Beats,2019,4651
Beautiful Sunday,2007,110
Beauty,2021,0
Beauty and the Beast,1991,425384
Beauty and the Beast,2017,284484
Beckett,2021,0
Becoming,2020,5950
Becoming Champions,2018,350
Bed & Breakfast: Love is a Happy Accident,2010,999
Bee & Puppycat: Lazy in Space,2013,29
Bee and PuppyCat,2013,1555
Been So Long,2018,996
Before I Wake,2016,42362
Begin Again,2013,147794
Behind Her Eyes,2021,53350
Behind the Curtain: Todrick Hall,2017,298
Being Elmo: A Puppeteer's Journey,2011,6897
Being Human,2008,24392
Being Mrs Elliot,2014,16
Being Napoleon,2018,104
Beirut,2018,20085
Bella Donna's,2017,403
Bellas de Noche,2016,534
Below Deck,2013,2222
Below Deck Mediterranean,2016,1327
Below Her Mouth,2016,11129
Ben Platt Live from Radio City Music Hall,2020,426
Ben X Jim,2020,60
Bendo,2022,0
Beneath the Leaves,2019,1389
Beni Çok Sev,2021,0
Benji,2018,4163
Benvenuto Presidente!,2013,3181
Benvinguts a la família,2018,385
Berlin Calling,2008,13984
Berlin Syndrome,2017,23476
"Berlin, Berlin",2020,430
"Berlin, I Love You",2019,2822
Berserk: Ougon Jidai-hen I - Haou no Tamago,2012,11327
Berserk: Ougon jidai-hen II - Dorudorei koryaku,2012,9421
Berserk: Ougon jidai-hen III - Kourin,2013,8987
Bert Kreischer: Hey Big Boy,2020,1699
Bert Kreischer: Secret Time,2018,2104
Bert Kreischer: The Machine,2016,1327
Bert Visscher: Zelden zoiets gezien,2017,51
Beruseruku,2016,4953
Best Leftovers Ever!,2020,423
Best of Stand-up 2020,2020,486
Best. Worst. Weekend. Ever.,2018,254
Betaal,2020,8261
Bethany Hamilton: Unstoppable,2018,619
Betoben baireoseu,2008,318
Betonrausch,2020,4387
Better Call Saul,2015,347857
Better Watch Out,2016,33703
Bettie Page Reveals All,2012,1459
Betty en NY,2019,477
Between,2015,8647
Between Two Ferns: The Movie,2019,28298
Beuramseureul Joahaseyo,2020,500
Beyblade Burst,2016,364
Beyond Stranger Things,2017,1813
Beyond a Reasonable Doubt,2009,12570
Bhaag Beanie Bhaag,2020,3806
Bhangra Paa Le,2020,295
Bhouri,2016,413
Bienvenidos a Edén,2021,0
Big Bear,2017,1280
"Big Dreams, Small Spaces",2014,309
Big Game,2014,31914
Big Guns,2006,20
Big Mouth,2017,67118
Big Timber,2020,333
Big Words,2013,277
Big in Bollywood,2011,101
Bigflo & Oli: Hip Hop Frenzy,2020,102
Biggie: I Got a Story to Tell,2021,4347
"Bikram: Yogi, Guru, Predator",2019,6232
Bikya,2018,105
Bill Burr: I'm Sorry You Feel That Way,2014,7364
Bill Burr: Paper Tiger,2019,9499
Bill Burr: Walk Your Way Out,2017,6625
Bill Burr: You People Are All the Same.,2012,6812
Bill Cosby: 77,2014,10
Bill Cosby: Far from Finished,2013,464
Bill Hicks: Reflections,2015,127
Bill Hicks: Relentless,1992,2425
Bill Hicks: Revelations,1993,2983
Bill Hicks: Sane Man,1989,2242
Bill Nye Saves the World,2017,6722
Billions,2016,74094
Bimilui Soop,2017,6339
Bing-ui,2019,578
Binsenjo,2021,7888
Biohackers,2020,7563
Bir Baba Hindu,2016,2410
Bir Baskadir,2020,28301
Bird Box,2018,297927
Birders,2019,230
Birdman or (The Unexpected Virtue of Ignorance),2014,595946
Bitten,2014,16925
Bitter Daisies,2018,2864
Black Beach,2020,1299
Black Clover,2017,13218
Black Crab,2022,0
Black Earth Rising,2018,4361
Black Heart,2014,41
Black Ink Crew,2012,383
Black Lagoon,2006,13031
Black Lightning,2017,28275
Black Man White Skin,2015,49
Black Mirror,2011,469407
Black Mirror: Bandersnatch,2018,118074
Black Privilege,2019,205
Black Sails,2014,96550
Black Site Delta,2017,995
Black Space,2020,1074
Black Summer,2019,26189
Blackout,2013,230
Blackpink: Light Up the Sky,2020,5531
Blame!,2017,7432
Blanche comme neige,2019,921
Blasted,2022,0
Blazing Transfer Students,2017,110
Bleach: Burîchi,2004,59138
Bleach: Burîchu,2018,10897
Bling Empire,2021,2328
Blitz,2011,83777
Blockbuster,2018,446
"Bloed, Zweet & Tranen",2015,1792
Blonde,2022,0
Blood & Water,2020,2481
Blood Brother,2013,1618
Blood Brother,2018,936
Blood Brothers: Malcolm X & Muhammad Ali,2021,0
Blood Cells,2014,84
Blood Red Sky,2021,21062
Blood of Zeus,2020,18372
Bloodline,2015,46111
Bloodride,2020,5554
Bloom Into You,2018,954
Blown Away,2019,2438
Blue,2009,83
Blue Bloods,2010,34064
Blue Gold: American Jeans,2014,124
Blue Jasmine,2013,195580
Blue Jay,2016,15777
Blue Kids,2017,79
Blue Miracle,2021,4816
Blue Mountain State,2010,49898
Blue Mountain State: The Rise of Thadland,2016,15091
Bo Burnham: Inside,2021,31108
Bo Burnham: Make Happy,2016,12350
Bo Burnham: what.,2013,9995
BoJack Horseman,2014,173296
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,0
Bob Saget: That's What I'm Talkin' About,2013,237
Bobby Kennedy for President,2018,1601
Bobby Robson: More Than a Manager,2018,2903
Boca Juniors Confidencial,2018,317
Boca a Boca,2020,674
Bodyguard,2011,24275
Bodyguard,2018,103187
Bogdan Boner: Egzorcysta,2020,45
Boi,2019,604
Boiseu,2017,1496
Bojwagwan,2019,378
Boku dake ga inai machi,2016,35113
Boku dake ga inai machi,2017,3231
Boku no hîrô akademia,2016,44367
Boku wa tomodachi ga sukunai,2011,1975
Bolbol Hayran,2010,2445
Bolívar: Una lucha admirable,2019,668
"Bom Dia, Verônica",2020,3948
Bombairiya,2019,394
Bombam,2019,1739
Bombay Begums,2021,3615
Bombay Rose,2019,520
Bon Bini Holland,2015,1211
Bon Cop Bad Cop 2,2017,3956
"Bon Cop, Bad Cop",2006,12296
Bonding,2018,14488
Bongwater,1998,3843
Bonusfamiljen,2017,2864
Booba,2014,318
Booba: Food Puzzle,2020,21
Bookmarks: Celebrating Black Voices,2020,143
Booksmart,2019,103143
Border Security: America's Front Line,2016,104
Border: Keishichô Sôsa Ikka Satsujinhan Sôsa Dai 4-gakkari,2014,315
Borderline,2016,1432
Borgen,2010,21123
Borgia,2011,6257
Born to Be Blue,2015,8304
Born to Raise Hell,2010,4086
Borstal,2017,483
Boss,2011,17281
Bottersnikes & Gumbles,2015,43
Bottled Life: Nestle's Business with Water,2012,816
Bottom of the World,2017,4836
Boy Meets Girl,2014,4391
Boyka: Undisputed IV,2016,26802
Brad Paisley's Comedy Rodeo,2017,143
Brahman Naman,2016,1798
Brain on Fire,2016,19354
Brainchild,2018,368
Brand New Cherry Flavor,2021,0
Braqueurs,2015,4641
Brasslands,2013,90
Brave Blue World,2019,658
Brave Miss World,2013,546
Braxton Family Values,2011,602
Breach,2020,10958
Bread Barbershop,2020,83
BreadCrumbs,2011,828
Break,2018,1012
Break It All: The History of Rock in Latin America,2020,1091
