title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
1899,2022,Ongoing,"['Drama', 'History', 'Horror']",,,,,,,"['Aneurin Barnard', 'Anton Lesser', 'Mathilde Ollivier', 'Alexandre Willaume']",['Baran bo Odar']
1899,2022,Ongoing,"['Drama', 'History', 'Horror']",Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,,,,,,"['Aneurin Barnard', 'Miguel Bernardeau', 'Jonas Bloquet', 'Rosalie Craig']",
1920,2008,,"['Horror', 'Mystery', 'Romance']","After forsaking his family and religion, a husband finds his wife is demoniacally possessed.",6.4,3183,138,,,"['Rajniesh Duggall', 'Adah Sharma', 'Anjori Alagh', 'Raj Zutshi']",['Vikram Bhatt']
1920 London,2016,,"['Horror', 'Mystery']","After her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism.",4.1,1599,120,,,"['Sharman Joshi', 'Meera Chopra', 'Vishal Karwal', 'Surendra Pal']",['Dharmendra Suresh Desai']
1922,2017,,"['Crime', 'Drama', 'Horror']","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",6.3,56699,102,,,"['Thomas Jane', 'Molly Parker', 'Dylan Schmid', 'Kaitlyn Bernard']",['Zak Hilditch']
1983,2018,,"['Crime', 'Drama', 'Thriller']","Decades after a 1983 terrorist attack, a law student and a cop uncover a conspiracy that's kept Poland as a police state and the Iron Curtain standing.",6.8,3882,60,,,"['Robert Wieckiewicz', 'Maciej Musial', 'Michalina Olszanska', 'Andrzej Chyra']",
1994,2019,Ongoing,"['Documentary', 'History']","Archival video and new interviews provide an investigative look at Mexican politics in 1994, a year marked by the assassination of Luis Donaldo Colosio.",7.6,442,,,I,"['Rafael Sebastián Guillén Vicente', 'Carlos Salinas de Gortari']",
"1994: Poder, Rebeldía y Crimen en México",2019,,['Documentary'],"1994 looks at a convoluted period in recent Mexican history, including the assassination of Luis Donaldo Colosio, the raising of the Zapatist Liberation Army, and the end of the rule of Carlos Salinas.",8.7,17,,,,,
2 Weeks,2013,,"['Crime', 'Drama']","Jang Tae San is a man who has been living a meaningless life and never thinks toward his future. He is on the run after being falsely accused of murder. Furthermore, he discovers that he ...",8.1,628,65,,,"['Lee Joon-Gi', 'Ha-seon Park', 'Soo-young Ryu', 'Kim So-yeon']",
2001: A Space Odyssey,1968,,"['Adventure', 'Sci-Fi']","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",8.3,622998,149,56.95,,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']",['Stanley Kubrick']
