title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
Son of Abish,2014,Ongoing,"['Comedy', 'Talk-Show']","Swara Bhasker returns to tell us about an epic cross country road trip featuring multiple cats, Varun Thakur returns to give us expert house cleaning tips, and Ravi Patel joins us to talk about his first impressions of both of them.",,,,,Series,"['Abish Mathew', 'Swara Bhaskar', 'Varun Thakur', 'Ravi Patel']",
Paradise PD,2018,Ongoing,"['Animation', 'Action', 'Comedy']","Chief Crawford develops an unlikely, unhealthy and unholy friendship. Delbert and Robby form a new country. Fitz adjusts to married life.",6.8,196,,,Series,"['Sarah Chalke', 'David Herman', 'Tom Kenny', 'Kyle Kinane']","['Mike Disa', 'Ashley J. Long']"
The Drew Barrymore Show,2020,Ongoing,['Talk-Show'],"""Cobra Kai"" star Ralph Macchio will stops by to be chat. Actress Jenna Ortega on an her uplifting book, ""It's All Love."" Then, in Beauty in A Box, Drew will surprises a viewer at home who ...",,,44,,Series,"['Drew Barrymore', 'Ralph Macchio', 'Jenna Ortega', 'Regé-Jean Page']",['Adam Heydt']
Alice in Borderland,2020,Ongoing,"['Action', 'Fantasy', 'Mystery']","Leaving an injured Chota, Arisu and Karube head out to gain more experience. They come to a sprawling apartment block, where a deadly game of tag awaits.",8.0,848,47,,Series,"['Kento Yamazaki', 'Tao Tsuchiya', 'Keita Machida', 'Yûki Morinaga']",['Shinsuke Sato']
Alice in Borderland,2020,Ongoing,"['Action', 'Fantasy', 'Mystery']","With Chota and Shibuki's visas fast expiring, the four enter a vast botanical garden in Shinjuku, where they take part in a cruel game of betrayal.",8.3,1010,42,,Series,"['Kento Yamazaki', 'Tao Tsuchiya', 'Keita Machida', 'Yûki Morinaga']",['Shinsuke Sato']
Alice in Borderland,2020,Ongoing,"['Action', 'Fantasy', 'Mystery']","Arisu is overwhelmed with guilt and ready to give up, but Usagi urges him to keep going. next up is a game of endurance in an underground highway.",7.4,754,47,,Series,"['Kento Yamazaki', 'Tao Tsuchiya', 'Keita Machida', 'Yûki Morinaga']",['Shinsuke Sato']
Alice in Borderland,2020,Ongoing,"['Action', 'Fantasy', 'Mystery']","After Arisu and Usagi find their way to the Beach, the king of the so-called utopian haven forces them to help gather the remaining playing cards.",6.9,708,51,,Series,"['Shôhei Abe', 'Tsuyoshi Abe', 'Shô Aoyagi', 'Aya Asahina']",['Shinsuke Sato']
Alice in Borderland,2020,Ongoing,"['Action', 'Fantasy', 'Mystery']",Chishiya recruits Arisu and Usagi to help him change the status quo. An unforeseen event rocks the fragile power dynamics of the Beach.,7.5,662,41,,Series,"['Tsuyoshi Abe', 'Shô Aoyagi', 'Aya Asahina', 'Nobuaki Kaneko']",['Shinsuke Sato']
Alice in Borderland,2020,Ongoing,"['Action', 'Fantasy', 'Mystery']","Once a safe haven, the Beach becomes the arena for the next stage, where an epic witch hunt turns everyone against each other in a hostile showdown.",7.8,671,48,,Series,"['Tsuyoshi Abe', 'Shô Aoyagi', 'Aya Asahina', 'Nobuaki Kaneko']",['Shinsuke Sato']
Alice in Borderland,2020,Ongoing,"['Action', 'Fantasy', 'Mystery']","Tensions inside the resort reach a boiling point. As the game clock nears zero, those who've survived the onslaught now face an uncertain future.",7.9,732,52,,Series,"['Tsuyoshi Abe', 'Shô Aoyagi', 'Aya Asahina', 'Nobuaki Kaneko']",['Shinsuke Sato']
