show,year,summary,rating,votes,run_time,actors,director
Poketto monsutâ,1997,"Once they get off the train, Ash and Goh set out on the hunt for Dynamax Pokémon. Meanwhile, a Scorbunny is hot on their trail.",7.4,54,,"Sarah Natochenny, Zeno Robinson, Casey Mongillo, Ray Chase",
Poketto monsutâ,1997,"While the laboratory staff deal with a mysterious power outage, Chloe contemplates her future and her relationship with Pokémon.",7.2,46,21,"Sarah Natochenny, Zeno Robinson, Casey Mongillo, Cherami Leigh",
Poketto monsutâ,1997,"Ash and Goh head to the Galar region on assignment. During their stopover, some Pokémon steal Ash's backpack--with Ash and Goh's train tickets inside.",7.4,57,21,"Sarah Natochenny, Zeno Robinson, Ray Chase, Michele Knotz",
Poketto monsutâ,1997,"After the teams finds an exhausted Piplup, they set out for Snowpoint City in the Sinnoh region to reunite it with its trainer. Team Rocket follows.",6.5,47,21,"Sarah Natochenny, Zeno Robinson, Casey Mongillo, Cherami Leigh",
Poketto monsutâ,1997,The internet is full of reports that legendary Pokémon Ho-Oh has been seen in the Johto region. The researchers head to Ecruteak City to check it out.,6.6,47,21,"Sarah Natochenny, Zeno Robinson, Ray Chase, Casey Mongillo",
Poketto monsutâ,1997,"After a ship's captain reports being saved by a Dragonite, Goh and Ash set out in search of the Dragonite island that they believe exists...somewhere.",7.7,48,,"Sarah Natochenny, Zeno Robinson, Casey Mongillo, Ray Chase",
Poketto monsutâ,1997,"Professor Cerise gives Ash and Goh tickets to the World Coronation Series finals in the Galar region, where the strongest trainers battle for glory.",8.3,50,21,"Sarah Natochenny, Zeno Robinson, Casey Mongillo, Ray Chase",
Pose,2018,"With Blanca reeling from an unexpected loss, Elektra organizes a girls trip to the shore.",8.9,591,42,"Michaela Jaé (MJ) Rodriguez, Dominique Jackson, Indya Moore, Angelica Ross",Gwyneth Horder-Payton
Pose,2018,"After a medical set back, Blanca struggles to reassemble the House of Evangelista. Meanwhile, Pray Tell confronts old traumas when an exciting new category is proposed.",9.2,651,68,"Michaela Jaé (MJ) Rodriguez, Billy Porter, Dominique Jackson, Indya Moore",Janet Mock
Post Mortem: No One Dies in Skarnes,2021,,,,,"Kathrine Thorborg Johansen, Elias Holmen Sørensen, André Sørum, Kim Fairchild",Harald Zwart
Post Mortem: No One Dies in Skarnes,2021,,,,,,Harald Zwart
Post Mortem: No One Dies in Skarnes,2021,,,,,,Petter Holmsen
Power Rangers Beast Morphers,2019,"Devon finds it difficult to balance a new job he took to impress his dad, and the duties of being the Red Power Ranger.",8.7,43,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,Nate develops new technology from a captured Gigadrone and Devon struggles with fully trusting his team.,8.7,43,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Riccardo Pellizzeri
Power Rangers Beast Morphers,2019,Evox targets the Beast Bots to stop the Beast Morphers Rangers from forming their Megazord.,8.5,40,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"Scrozzle executes his plan to finally free Evox from the Cyber Dimension and the Rangers, along with an unexpected friend, must do everything in their power to stop him.",8.7,42,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Riccardo Pellizzeri
Power Rangers Beast Morphers,2019,"When Evox's new plan targets one of their own, the Beast Morphers Rangers must band together to save them.",8.3,31,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Riccardo Pellizzeri
Power Rangers Beast Morphers,2019,Ravi must face one of his worst fears when it interferes with his Ranger duties.,8.2,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,An innocent lie leads to a break in trust between the Power Rangers.,8.1,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"When Nate and Steel unexpectedly clash, it leads to double trouble for the team.",8.6,32,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Riccardo Pellizzeri
Power Rangers Beast Morphers,2019,"After witnessing a boy being bullied, Ravi takes him under his wing.",7.7,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Riccardo Pellizzeri
Power Rangers Beast Morphers,2019,The Power Rangers' skills are put to the test when Blaze uses evil tech to massively enhance his Robotron's destructive power.,8.8,33,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Riccardo Pellizzeri
Power Rangers Beast Morphers,2019,"The Red Ranger gets amazing new powers, but they have unexpected side effects.",8.7,29,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,Ravi resorts to drastic measures when Smash accidentally discovers a closely guarded secret.,8.4,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"When a movie star comes to town, the Rangers' secret identities are unexpectedly threatened.",8.5,28,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,The Beast Morphers Rangers are brainwashed to think that Blaze and Roxy are part of their team.,8.7,28,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,Evox and his minions hatch the ultimate plan to take over the Morphin Grid.,8.9,28,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,The Beast Morphers Rangers mount a desperate mission to stop Evox once and for all.,8.8,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,The Beast Morphers Rangers are hypnotized into believing that they are the characters they dressed up as for Halloween.,7.3,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"When the Beast Morphers Rangers get trapped inside holiday ornaments, their Beast Bots must save them and the city.",7.2,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,The Rangers are skeptical when Steel says he's found clues that proves Evox may have returned.,8.8,39,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,A huge trash spill at the beach endangers the local wildlife; Scrozzle sets about finding reinforcements.,8.5,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,It's not all fun and games when Devon's favorite video game is brought to life in the form of a new Robotron.,8.2,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"Ravi secretly repaints a local art mural, but a strange artist arrives and claims the work as his own.",8.6,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,"Devon discovers that Cruise has some skills that will help the Beast Morphers Rangers in battle, and pushes him to join the team.",8.9,32,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez","Simon Bennett, Matt McGuire"
Power Rangers Beast Morphers,2019,"Steel learns the concept of discipline and takes it too far, putting one of the Beast Morphers Rangers in real danger.",8.1,30,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"The Beast Morphers Rangers are given access to a powerful new zord, but Evox has designs to steal it for himself.",8.9,29,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"Steel learns that Nate and Zoey have feelings for each other and tries to bring them together, despite the strict Grid Battleforce rules that forbid relationships between Power Rangers.",9.1,29,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"The Pan Global Games have arrived in Coral Harbor, but Ranger duties prevents the teens from attending any of the events.",7.9,23,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,Grid Battleforce shuts down the Morph-X towers to lure Evox into a trap.,8.9,26,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,The Rangers receive a strange message from outer space warning of an impending threat.,9.1,22,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,The Rangers do everything they can to help their new ally return home.,8.9,23,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,A hasty decision by Zoey puts an old friend in danger.,9.2,26,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"In an epic battle, the Beast Morphers team up with the Dino Thunder, Dino Charge, and Mighty Morphin Power Rangers to defeat the newest member of Evox's team.",8.8,67,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"Nate is reunited with his do-gooder parents, who offer him a compelling and difficult choice.",8.3,23,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,Ravi and Roxy's anniversary hits a major snag when a misunderstanding gets out of control.,8.5,20,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,Evox decides to add a new villain to his team and commands his minions to find the evilest villain of all time.,8.4,18,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,Nate and Steel accidentally swap bodies.,7.8,21,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,"When Zoey accidentally ruins her brother's chances for a scholarship, she'll do anything to make it right.",8.3,19,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Oliver Driver
Power Rangers Beast Morphers,2019,Nate makes a horrifying discovery and must rely on the wisdom of an ally to help him work through it.,9.5,26,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,"Evox finally executes his master plan, and the Beast Morphers Rangers must do everything they can to stop him, even potentially sacrifice one of their own.",9.2,24,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Power Rangers Beast Morphers,2019,"Devon falls victim to a bad influence, which affects his relationship with Cruise.",8.8,18,,"Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",Simon Bennett
Prank Encounters,2019,"A babysitter finds herself in the middle of a real-life horror movie. Masterful planning, acting and timing pulled this off. A hilarious prank with quality actors and two unsuspecting victims.",6.4,183,,"Gaten Matarazzo, Mary Gallagher, Opal Littleton, David Storrs",Anthony Gonzales
Prank Encounters,2019,Two temps cross paths on an isolated stretch of road that has claimed many lives in car crashes because of an angry monster that lives in the surrounding forest.,6.9,149,,"Gaten Matarazzo, David Storrs, Mary Gallagher, Sven Holmberg",Anthony Gonzales
Prank Encounters,2019,A private investigator working a missing person case and a home care assistant caring for a woman recovering from surgery find their paths crossing.,6.4,130,,"Gaten Matarazzo, Mary Gallagher, David Storrs, Julian Gant",Anthony Gonzales
Prank Encounters,2019,A concierge travel assistant and a doctor's assistant worry that a decorated astronaut may have a stellar case of indigestion.,6.6,112,,"Gaten Matarazzo, David Storrs, Cathy Shim, Jeff Lewis",Anthony Gonzales
Prank Encounters,2019,Two unsuspecting camp leaders find themselves in the middle of a real-life horror movie. Masterful planning and timing pulled this prank off. Highly entertaining.,7.4,118,,"Gaten Matarazzo, David Storrs, Mary Gallagher, Sven Holmberg",Anthony Gonzales
Prank Encounters,2019,A curator and warehouse worker hired on at a museum find that the new Egyptian exhibit really does make the past come alive.,6.1,97,,"Gaten Matarazzo, David Storrs, Cathy Shim, Gabriel Pimentel",Anthony Gonzales
Prank Encounters,2019,"A talent agent and party planner find themselves at a young girls birthday party with 'Stranger Things' star Gaten Matarazzo, trying to plan her special day while dealing with her father's terrifyingly high standards.",7.2,104,,"Gaten Matarazzo, Eddie Perino, Mary Gallagher, Sven Holmberg",Anthony Gonzales
Q-Force,2021,,,,,"Gary Cole, David Harbour, Patti Harrison, Sean Hayes",Michael Schur
Queen Sono,2020,"In Queen's early days with the Special Operations Group, she and Shandu risk their lives protecting a corrupt deputy president.",6.9,50,,"Pearl Thusi, Vaneshran Arumugam, Connie Chiume, Vuyo Dabula",Tebogo Malope
Queen Sono,2020,,6.8,65,,"Pearl Thusi, Connie Chiume, Vuyo Dabula, Kate Liquorish",Kagiso Lediga
Queen Sono,2020,,6.8,56,,"Pearl Thusi, Vuyo Dabula, Kate Liquorish, Loyiso Madinga",Tebogo Malope
Queen Sono,2020,"When an attack hits a Johannesburg train station, Ekaterinburg spots an opportunity. Queen confronts Dr. Sid about her mother's death.",6.8,47,,"Pearl Thusi, Vuyo Dabula, Kate Liquorish, Loyiso Madinga",Tebogo Malope
Queen Sono,2020,Queen and her teammates take matters into their own hands to stop an impending attack. A dangerous visitor knocks on Mazet's door.,6.7,48,,"Pearl Thusi, Vuyo Dabula, Abigail Kubeka, Kate Liquorish",Kagiso Lediga
Queen Sono,2020,,,,,"Pearl Thusi, Vuyo Dabula, Sechaba Morojele, Chi Mhende",Kagiso Lediga
Queer Eye,2018,"Jonathan returns to his hometown to make over his high school music teacher, a selfless educator whose fiery red mullet hasn't changed in 30 years.",8.8,315,,"Bobby Berk, Karamo Brown, Tan France, Antoni Porowski",Hisham Abed
Queer Eye,2018,The Fab Five help a timid gay pastor who came out in his 30s update his look and find the confidence to lead his congregation into the future.,8.6,204,,"Noah Hepler, Guy Erwin, Megan Rohrer",
Queer Eye,2018,A former bad boy who turned his life around after becoming paralyzed gets a wheelchair-accessible home and a new image to match his positive outlook.,9.2,385,,,Hisham Abed
Queer Eye,2018,"His 10-year-old daughter calls him a ""man child."" But can this larger-than-life single dad grow up and become the adult she needs him to be?",8.6,238,,,Hisham Abed
Queer Eye,2018,"A demanding drill-team leader who's set in her ways learns to shed her tough skin, soften her style -- and open up to her two grown daughters.",7.6,217,,,Hisham Abed
Queer Eye,2018,"The Fab Five help a kind but lonely bachelor find unconditional love and get his dusty home ready for visitors, the first guests he's had in years.",9.2,284,,,Hisham Abed
Queer Eye,2018,A proud Chicana woman and arts advocate trades her dated locks for a polished look that gives her the confidence to talk publicly about her passions.,8.3,206,,,Hisham Abed
Queer Eye,2018,A scruffy ex-soldier who builds houses for homeless veterans spruces up to reconnect with his wife and finds unexpected strength in vulnerability.,8.3,175,,,Hisham Abed
Queer Eye,2018,A recently divorced farmer who's weathered hard times makes room for self-care and turns his barn into a chic farm-to-table dining space.,7.7,175,,,Hisham Abed
Queer Eye,2018,"To get her stalled mobile grooming business back in gear, a scrappy entrepreneur must polish her brand - and add some swag to her own wag.",8.4,148,,,
Queer Eye,2018,A divorced dad who hides behind baggy clothes and crusty hair gel gets a dazzling makeover - and learns to dance - for his daughters wedding day.,8.7,137,,,
Queer Eye,2018,He's a humble hero who's survived homelessness - and helped young writers in his community home their voices. Now he's ready for his next chapter.,8.6,140,,,
Queer Eye,2018,A passionate Gen Z activist is so focused on saving the planet that she forgets to schedule self-care. The Fab Five help her find balance.,6.8,177,,,
Queer Eye,2018,The fab five meet a single DJ who's ready to remaster his life and stop comparing himself to his married siblings.,7.3,129,,,
Queer Eye,2018,A devoted super mom worried about her husband's health slows down to make time for herself and help out her children.,8.5,123,,,
Queer Eye,2018,The Fab Five help a fishmonger and father of three to connect with his family and achieve his dream of opening his very own restaurant.,8.1,114,,,
Queer Eye,2018,The Fab Five help a working mother to balance her home life with her career as a paediatrician.,8.5,115,,,
Queer Eye,2018,His life and his business have seen better days. But this lovable West Philly fitness trainer is finally motivated to whip things back into shape.,8.1,95,,,
Ragnarok,2020,"A battle ends with a bang - and an ominous promise of violence. After visiting another realm, Magne hunts for allies while Vidar marshals his forces.",8.1,603,50,"David Stakston, Jonas Strand Gravli, Herman Tømmeraas, Theresa Frostad Eggesbø",Mogens Hagedorn
Rebecka Martinsson,2017,,6.5,82,45,"Sascha Zacharias, Eva Melander, Thomas Oredsson, Jakob Öhrman",Fredrik Edfeldt
Rebecka Martinsson,2017,,6.5,76,45,"Sascha Zacharias, Eva Melander, Thomas Oredsson, Jakob Öhrman",Fredrik Edfeldt
Rebecka Martinsson,2017,,6.8,69,45,"Sascha Zacharias, Eva Melander, Thomas Oredsson, Jakob Öhrman",Fredrik Edfeldt
Rebecka Martinsson,2017,,6.7,66,45,"Sascha Zacharias, Eva Melander, Thomas Oredsson, Jakob Öhrman","Fredrik Edfeldt, Andrea Östlund"
Rebecka Martinsson,2017,,6.8,65,45,"Sascha Zacharias, Eva Melander, Thomas Oredsson, Jakob Öhrman","Fredrik Edfeldt, Andrea Östlund"
Rebecka Martinsson,2017,On an icy road in northern Sweden a woman is found dead in her car. She has a fatal blow to the head and her months old baby has frozen to death in the back seat. At first it seems like an ...,6.7,75,45,"Sascha Zacharias, Eva Melander, Thomas Oredsson, Jakob Öhrman",Fredrik Edfeldt
Rebecka Martinsson,2017,,6.9,70,45,"Sascha Zacharias, Eva Melander, Thomas Oredsson, Jakob Öhrman",Fredrik Edfeldt
Resident Evil: Infinite Darkness,2021,"Now at an NGO in Penamstan, Claire discovers signs reminiscent of Raccoon City. Leon makes his way to the White House, unaware that it's under attack.",6.7,632,26,"Nick Apostolides, Bill Butts, Ray Chase, Kellen Goff",Eiichirô Hasumi
Rhythm + Flow,2019,,7.7,88,,"Ivie Ani, 2'Live Bre, Chance the Rapper, Daniel Farris",Sam Wrench
Rhythm + Flow,2019,,7.1,76,,"Ivie Ani, 2'Live Bre, Fat Joe",Sam Wrench
Rhythm + Flow,2019,,7.3,74,,"Ivie Ani, 2'Live Bre, Troy Curry",Sam Wrench
Rhythm + Flow,2019,Chance the Rapper goes back to his hometown to hold auditions with the help of two guest judges.,8.2,73,,"Ivie Ani, 2'Live Bre, Chance the Rapper, Matthias Kocur",Sam Wrench
Rhythm + Flow,2019,"Digging deep, eight lyricists head home to write hit songs with industry heavyweights and shoot videos that capture their visions, stories and cities.",7.7,56,,"2'Live Bre, Troy Curry, Daniel Farris, Enrique Penn",Sam Wrench
Rhythm + Flow,2019,,7.9,55,,"2'Live Bre, Troy Curry, Daniel Farris",Sam Wrench
Rhythm + Flow,2019,,8.4,54,,"Ty Dolla $ign, Jhené Aiko, 2'Live Bre, Chance the Rapper",Sam Wrench
Rhythm + Flow,2019,,8.8,64,,"2'Live Bre, Troy Curry, Christopher Miller",Sam Wrench
Rhythm + Flow,2019,,7.4,61,,"Troy Curry, Daniel Farris",Iren Brown
Rhythm + Flow,2019,,8.2,67,,"Troy Curry, Daniel Farris",Iren Brown
Rick and Morty,2013,Rick goes to his private bathroom to find that someone else has used it. Jerry creates an app with an unlikely alien and Morty pays the price.,8.3,10085,22,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Wesley Archer, Jacob Hair"
Rick and Morty,2013,"On a treasure-seeking expedition in an alien temple, Rick and Morty discover that a heist expert has snatched the prize from under their noses. Further twists, turns and double-crosses abound.",8.4,9845,22,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Wesley Archer, Bryan Newton"
Rick and Morty,2013,"Morty asks Rick for a dragon and Rick finds a wizard of another dimension who makes a soul bonding contract between Morty and a dragon called Balthromaw. Meanwhile, Jerry meets a talking cat in his bedroom who wants to fly to Florida.",7.4,9789,22,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Anthony Chun, Wesley Archer"
Rick and Morty,2013,Morty discovers a race of intelligent space snakes after suffering a potentially lethal bite. Jerry attempts to prove that he isn't completely incompetent.,8.9,9283,22,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Wesley Archer, Jacob Hair"
Rick and Morty,2013,An anthology episode that follows Rick and Morty on a train with people who don't like Rick. They have to find their way out but they bump into unexpected situations along the way.,8.1,8797,21,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Wesley Archer, Erica Hayes"
Rick and Morty,2013,"Rick, Morty and Summer visit an alien civilisation, where Rick and Morty are controlled by parasites and Summer lives a luxurious lifestyle.",8.1,7056,21,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Wesley Archer, Bryan Newton"
Rick and Morty,2013,Rick & Morty go on a simple exchange as Rick tells Morty if something goes wrong jump into the same vat of acid as he does.,9.5,10874,22,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Wesley Archer, Jacob Hair"
Rick and Morty,2013,"Rick, Morty, Beth, Summer and Jerry share a galactic adventure.",7.8,6579,22,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Wesley Archer, Kyoung Hee Lim"
Rick and Morty,2013,"An adventure with an invisibility belt, but a family that disappears together, must stay together.",9.2,7832,22,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke","Wesley Archer, Erica Hayes"
Ridley Jones,2021,"A special necklace has gone missing, and if Ridley can't find it, her mom could lose her job. Ridley must rescue a pint-sized penguin from the desert.",,,27,"Bob Bergen, Blythe Danner, David Errigo Jr., Sutton Foster",Shane Collins
Ridley Jones,2021,Dudley the dodo causes a museum mix-up when he switches exhibits. Egyptian queen Ismat wants to hide her family's royal routine from her friends.,,,27,"Chris Colfer, Blythe Danner, David Errigo Jr., Sutton Foster",Shane Collins
Riverdale,2017,Archie forges a new beginning for Mad Dog; Jughead receives a special offer; Veronica pays for her parents' mistakes; Cheryl goes head to head with the school's new principal.,7.5,908,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Pamela Romanowsky
Riverdale,2017,Things take a dangerous turn when Betty and Charles track down Edgar and his Farmies; Jughead's first day at Stonewall Prep doesn't go as planned; Cheryl learns a dark family secret.,6.8,900,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Gregory Smith
Riverdale,2017,A chilling mystery sweeps through Riverdale as the gang prepares for the mischief and mayhem of Halloween; Jughead gets caught in a sinister scheme.,7.6,852,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Erin Feeley
Riverdale,2017,Veronica digs deep for justice; Betty explores her future and complex past; Stonewall Prep celebrates a literary franchise; Archie finds himself the unexpected target of the local businesses.,7.2,781,41,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Harry Jierjian
Riverdale,2017,Tension mounts as Archie tries to dethrone Dodger; Betty and Jughead examine their family histories; Cheryl grows suspicious of her new houseguest; Veronica deals with a major shake-up at home.,7.0,748,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Gabriel Correa
Riverdale,2017,Archie's peaceful Thanksgiving dinner at the community center is derailed by unexpected guests; Jughead and Betty search for clues about a recent death in Stonewall Prep.,7.5,772,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Alex Pillai
Riverdale,2017,Residents begin receiving more mysterious videotapes on their doorsteps; The seniors of Riverdale High eagerly await their college decision letters.,7.6,788,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Michael Goi
Riverdale,2017,"After declaring war on Hiram, Veronica enlists a secret weapon; Archie and FP team up to take Dodger down for good; Jughead's search for his grandfather leads to more questions than answers.",7.2,717,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Gabriel Correa
Riverdale,2017,"In the competitive heat of Quiz Show fever, Betty butts heads with Brett; Archie gets Frank a job at Andrew's Construction; Veronica and Cheryl team up for an unlikely business venture.",7.1,668,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Chell Stephen
Riverdale,2017,Emotions run high as Riverdale celebrates a monumental Spirit Week; Jughead considers a pivotal opportunity; Veronica pursues a new passion.,7.1,684,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Roxanne Benjamin
Riverdale,2017,Betty and Alice embark on a new investigation; Archie digs deeper into his uncle's dark past; Veronica reconnects with an old friend.,6.9,647,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Catriona McKenzie
Riverdale,2017,"Worried about his future after high school, Archie seeks advice from Hiram; Veronica begins to spiral; Jughead confronts a critical accusation.",7.4,692,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Claudia Yarmy
Riverdale,2017,"When a night in the woods goes horribly awry, Betty, Archie and Veronica are forced to confront what one of them may be capable of.",8.1,769,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",James DeWille
Riverdale,2017,"Alice begins shooting a documentary about Riverdale and the latest mystery involving one of its own; Betty, Archie and Veronica fall deeper into a web of lies as the investigation gets underway.",7.4,767,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Shannon Kohli
Riverdale,2017,Betty continues her Stonewall Prep takedown with the help of two unique allies; A tense confrontation leads to a tender reunion.,8.5,1032,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Tessa Blake
Riverdale,2017,"As a menacing and musical new normal takes shape in Riverdale, Betty helps Jughead restore order; Kevin fights for his place in the spotlight.",3.5,2540,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Antonio Negret
Riverdale,2017,Jughead and Charles follow a new lead after the contents of the latest videotape takes a sinister turn; Cheryl and Veronica's maple rum business faces a new threat; Archie and Betty contemplate their next steps.,6.8,807,42,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Steven A. Adelson
Riverdale,2017,"After receiving a letter from the University of Iowa asking him to submit a story, Jughead works on a twisted tale about the gang's revenge fantasy against Principal Honey for all the ways he's ruined their senior year.",7.4,821,41,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",Mädchen Amick
Roman Empire,2016,The young Caligula has a difficult childhood when his family members are either murdered or exiled at the hands of the emperor Tiberius.,7.2,205,,"Steve West, Tom Holland, Mike Duncan, David Levene",
Roman Empire,2016,Roman Empire examines the life of Caligula from his days as co-heir of the Empire. He smothers Emperor TIberius to death with a pillow and nullifies his will instructing co-emperors. ...,7.2,175,,"Steve West, Amanda Ruggeri, Aaron Irvin, Adrian Murdoch",
Roman Empire,2016,Rome Empire looks at the increasingly deranged and paranoid reign of Emperor Caligula. He a kills his heir and forces his praetorian prefect to commit suicide. In search of a new heir to ...,7.3,174,,"Steve West, Amanda Ruggeri, Caitlin Gillespie, Aaron Irvin",
