show,year,summary,rating,votes,run_time,actors,director
Formula 1: Drive to Survive,2019,"Mercedes: a look into Valtteri's plans on how to finally beat Lewis this season. Lewis reflects on the significance of chemistry between teammates. At the Russian Grand Prix, tactical games between the two begin.",8.1,600,40,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",
Formula 1: Drive to Survive,2019,A light is shone on Ferrari's struggles this season and where the origin of their difficulties lies. Especially Sebastian is having a hard time with the car and needs to figure out his future when the team decide to move on from him.,7.7,545,44,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",
Formula 1: Drive to Survive,2019,"Daniel Ricciardo decides to leave Renault after two seasons and join McLaren for 2021, which takes Cyril by surprise.",7.6,523,38,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",
Formula 1: Drive to Survive,2019,"Pierre Gasly's performances have been outstanding at Alpha Tauri, with the climax being his sensational win in Monza. On the other hand, Alex Albon's recent results have not been ...",8.6,646,37,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",
Formula 1: Drive to Survive,2019,"The Haas team has been struggling all season, and both Grosjean and Magnussen are driving to keep their cockpit when owner Gene Haas decides to cut down his investment, leaving Gunther ...",7.6,511,41,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",
Formula 1: Drive to Survive,2019,"With the news out that Carlos Sainz is moving to Ferrari in 2021, the relationship between him and his teammate is changing.",6.9,562,37,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",
Formula 1: Drive to Survive,2019,Two turbulent Grand Prix in Bahrain/Sakhir for Racing Point and Sergio Perez in particular. He is still without a seat for the next season and shows why Formula 1 cannot afford to lose him....,9.4,1000,51,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",Martin Webb
Formula 1: Drive to Survive,2019,"Battle for third in the constructor's championship. McLaren, Renault and Racing Point can all still take third place in the last race in Abu Dhabi.",6.8,615,38,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",Martin Webb
Formula 1: Drive to Survive,2019,,,,,,
Freud,2020,"Struggling with his career and swigging cocaine, Freud is pulled into a gruesome crime, then into an exclusive seance led by a mesmerizing psychic.",7.0,491,57,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler",Marvin Kren
Freud,2020,"His theories opposed, Freud tips off authorities searching for a lost innocent. But he'll have to collaborate with an outsider to get to the truth.",7.4,379,55,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler",Marvin Kren
Freud,2020,"A duel takes a startling turn, with dire consequences. Sophia plants deadly seeds, a dreamer awakens and Freud learns how to unlock a shuttered mind.",7.2,330,56,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler",Marvin Kren
Freud,2020,Dr. Freud's life is in danger. Police inspector Kiss and Dr. Freud are facing a strange suicide. Sophie hypnotizes Fleur and sends her to a private audience with Crown Prince Rudolf.,7.0,306,51,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler",Marvin Kren
Freud,2020,"A relationship between Fleur and Dr. Freud develops in unexpected direction, as Fleur is possessed by the other personality. Freud tries to find out, who is Taltos. Sophia and her husband organize strange ceremony for invited guests.",6.8,292,55,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler",Marvin Kren
Freud,2020,"Freud is obsessed with a pianist, who had lived in neighbouring apartment and committed suicide. Fleur is found in the asylum and Freud tries to help her, but he has problems in his work.",7.0,261,49,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler",Marvin Kren
Freud,2020,"Freud and Fleur must hide themselves, accompanied by the two friendly policemen. Dr. Freud explores his and Fleur's subconscious in order to heal her. Sophia and Victor plot vengeance upon the Austrian court.",7.3,275,44,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler",Marvin Kren
Freud,2020,"The showdown at the emperor's Ball of Nations. The court covers up preceding events and Freud has to make a step forward in his life, with a help of loving ones.",7.4,282,53,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler",Marvin Kren
Fuller House,2016,"DJ and Steve take a cooking class. Meanwhile, Stephanie has a hard time keeping a promise to Max. Ramona falls for the cute food delivery guy.",7.4,179,,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",Richard Correll
Fuller House,2016,"Jackson accidentally sends a bad post to Ramona's new boyfriend from her phone, Fernando has a crisis at the start of the Formula One Season after his retirement, Max is trying to do his first high dive.",7.5,177,,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",Richard Correll
Fuller House,2016,"Matt and Gia need DJ to notarize their marriage license even though Rocki objects, Gia gets invited to have a Mom's Night Out with Steph, DJ and Kimmy, the guys have a Dudes Night In while the girls are out",7.6,184,,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",Christian Jensen
Fuller House,2016,DJ and Jackson bond through a video game which was DJ's secret until a face to face playoff and the grand reopening of Uncle Monty's runs into a bunch of snags,7.8,181,,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",Dave Coulier
Fuller House,2016,"The Mayor of San Francisco needs a house call to cure her bird, Ethan is invited to participate in Gibbler Game Night, Steph contemplates her future as mother of Dani",7.3,172,,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",Richard Correll
Fuller House,2016,"After Steve tells DJ that he has signed her up for a DJ's Amazing Race- Birthday Edition, Steph and Kimmy think he is about to propose to her, Jackson and Max try to teach five-year-old Tommy how to be a guy with dire consequences",8.0,174,,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",Mark Cendrowski
Fuller House,2016,"Ramona introduces Rocki to Ethan and she suspects that they already know each other, Lisa Loeb turns up in DJ and Matt's veterinary clinic which draws Steph to get Lisa to listen to a song she wrote",7.5,183,,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",Candace Cameron Bure
Fuller House,2016,DJ and Steph help Fernando with his re-proposal to Kimmy sending Kimmy to the Emergency Room and Jimmy loses the engagement ring. A surprise happens.,8.6,241,,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion",Richard Correll
Generazione 56K,2021,"Daniel finally clicks with a woman he met through a dating app, but she's not who she seems. In 1998, an incident with a VHS tape lands him in hot water.",7.8,45,33,"Angelo Spagnoletti, Cristina Cappelli, Alfredo Cerrone, Azzurra Iacone",
Get Organized with the Home Edit,2020,Reese Witherspoon hires Clea and Joanna to help display some of her memorable movie and TV looks. The team revives a pediatrician's cluttered closet.,5.4,48,,"Clea Shearer, Joanna Teplin, Reese Witherspoon",
